moneda,casa,nombre,compra,venta,fechaActualizacion,variacion,fecha_consulta
USD,oficial,Oficial,1460.14,1511.12,2026-07-31T15:48:00.000Z,-0.06,2026-07-31T23:00:54.800957
USD,blue,Blue,1540.0,1560.0,2026-07-31T18:00:00.000Z,-0.32,2026-07-31T23:00:54.800957
USD,bolsa,Bolsa,1517.67,1517.67,2026-07-31T18:00:00.000Z,0.6,2026-07-31T23:00:54.800957
USD,contadoconliqui,Contado con liquidación,1582.12,1582.12,2026-07-31T18:00:00.000Z,1.63,2026-07-31T23:00:54.800957
USD,mayorista,Mayorista,1476.0,1485.0,2026-07-31T15:50:00.000Z,-0.2,2026-07-31T23:00:54.800957
USD,cripto,Cripto,1568.15,1568.15,2026-07-31T18:00:00.000Z,0.01,2026-07-31T23:00:54.800957
USD,tarjeta,Tarjeta,1460.0,1963.0,2026-07-31T18:00:00.000Z,0.0,2026-07-31T23:00:54.800957
USD,bna,BNA,1460.0,1510.0,2026-07-31T18:00:00.000Z,0.0,2026-07-31T23:00:54.800957
USD,oficial,Oficial,1460.14,1511.12,2026-07-31T15:48:00.000Z,-0.06,2026-08-01T02:21:53.772087
USD,blue,Blue,1540.0,1560.0,2026-07-31T18:00:00.000Z,-0.32,2026-08-01T02:21:53.772087
USD,bolsa,Bolsa,1517.67,1517.67,2026-07-31T18:00:00.000Z,0.6,2026-08-01T02:21:53.772087
USD,contadoconliqui,Contado con liquidación,1582.12,1582.12,2026-07-31T18:00:00.000Z,1.63,2026-08-01T02:21:53.772087
USD,mayorista,Mayorista,1476.0,1485.0,2026-07-31T15:50:00.000Z,-0.2,2026-08-01T02:21:53.772087
USD,cripto,Cripto,1568.15,1568.15,2026-07-31T18:00:00.000Z,0.01,2026-08-01T02:21:53.772087
USD,tarjeta,Tarjeta,1460.0,1963.0,2026-07-31T18:00:00.000Z,0.0,2026-08-01T02:21:53.772087
USD,bna,BNA,1460.0,1510.0,2026-07-31T18:00:00.000Z,0.0,2026-08-01T02:21:53.772087
USD,oficial,Oficial,1460.14,1511.12,2026-07-31T15:48:00.000Z,-0.06,2026-08-01T16:32:11.045571
USD,blue,Blue,1540.0,1560.0,2026-07-31T18:55:00.000Z,-0.32,2026-08-01T16:32:11.045571
